5.077316e+01,3.344211e+04
5.270163e+01,3.215047e+04
5.463009e+01,3.092610e+04
5.655856e+01,2.972539e+04
5.848703e+01,2.857713e+04
6.041549e+01,2.750875e+04
6.234396e+01,2.651490e+04
6.427243e+01,2.576007e+04
6.620090e+01,2.502053e+04
6.812936e+01,2.430335e+04
7.005783e+01,2.365324e+04
7.198630e+01,2.309124e+04
7.391476e+01,2.260216e+04
7.584323e+01,2.214909e+04
7.777170e+01,2.169833e+04
7.970016e+01,2.117260e+04
8.162863e+01,2.074632e+04
8.355710e+01,2.047557e+04
8.548557e+01,2.016291e+04
8.741403e+01,1.974310e+04
8.934250e+01,1.940827e+04
9.127097e+01,1.894437e+04
9.319943e+01,1.841508e+04
9.512790e+01,1.791217e+04
9.705637e+01,1.746353e+04
9.898483e+01,1.699958e+04
1.009133e+02,1.647770e+04
1.028418e+02,1.596818e+04
1.047702e+02,1.561204e+04
1.066987e+02,1.532368e+04
1.086272e+02,1.507401e+04
1.105556e+02,1.483761e+04
1.124841e+02,1.449654e+04
1.144126e+02,1.405883e+04
1.163410e+02,1.369834e+04
1.182695e+02,1.355841e+04
1.201980e+02,1.329242e+04
1.221264e+02,1.289864e+04
1.240549e+02,1.260628e+04
1.259834e+02,1.237001e+04
1.279118e+02,1.205912e+04
1.298403e+02,1.165452e+04
1.317688e+02,1.127439e+04
1.336972e+02,1.092506e+04
1.356257e+02,1.054398e+04
1.375542e+02,1.000080e+04
1.394826e+02,9.536084e+03
1.414111e+02,9.112086e+03
1.433396e+02,8.683993e+03
1.452680e+02,8.267935e+03
1.471965e+02,7.804441e+03
1.491250e+02,7.347684e+03
1.510534e+02,7.108041e+03
1.529819e+02,6.848131e+03
1.549104e+02,6.542607e+03
1.568388e+02,6.293633e+03
1.587673e+02,6.147188e+03
1.606958e+02,6.034255e+03
1.626242e+02,5.917232e+03
1.645527e+02,5.942889e+03
1.664812e+02,6.022312e+03
1.684096e+02,6.049864e+03
1.703381e+02,6.128622e+03
1.722666e+02,6.310572e+03
