clinical_group,peak_cm_minus_1,mean_intensity,prominence,threshold
Control (YNOR),723.9,3.2944689487379564,4.026992687492442,0.420102864403761
Control (YNOR),847.2,0.31922096581256953,0.8641873120172445,0.420102864403761
Control (YNOR),895.4,0.31126592317925683,0.4993993236248061,0.420102864403761
Control (YNOR),935.9,0.21137189836601494,0.6382656884827389,0.420102864403761
Control (YNOR),999.5,3.3188114544197584,4.1496480879161535,0.420102864403761
Control (YNOR),1238.6,0.24826871606978218,0.43299222906531243,0.420102864403761
Control (YNOR),1365.8,0.4242911330000217,1.1995517575322832,0.420102864403761
Control (YNOR),1450.7,2.0722887170493918,2.852323978068114,0.420102864403761
Control (YNOR),1597.2,1.145444557243819,1.02652000618999,0.420102864403761
Control (YNOR),1689.7,1.1740772682382237,2.002480290714531,0.420102864403761
Control (YNOR),2098.4,2.1715549950428534,2.9868280140308485,0.420102864403761
Pancreatic cancer (YPAN),623.6,0.012453908985355654,0.45239915320940616,0.3943835587406277
Pancreatic cancer (YPAN),683.4,0.30577433321322317,0.4494950439116788,0.3943835587406277
Pancreatic cancer (YPAN),723.9,2.501756035518308,3.262420221259398,0.3943835587406277
Pancreatic cancer (YPAN),847.2,0.38662508162297243,0.8807385620087778,0.3943835587406277
Pancreatic cancer (YPAN),895.4,0.3295703007913933,0.48502058696407624,0.3943835587406277
Pancreatic cancer (YPAN),935.9,0.40938218506189245,1.0583655602922308,0.3943835587406277
Pancreatic cancer (YPAN),999.5,3.0830937448876963,3.8728645209992134,0.3943835587406277
Pancreatic cancer (YPAN),1286.8,0.29514309224933694,0.47570541307271574,0.3943835587406277
Pancreatic cancer (YPAN),1352.3,0.515174495453154,1.2982962058419307,0.3943835587406277
Pancreatic cancer (YPAN),1446.8,2.2300882143238057,3.084401273207515,0.3943835587406277
Pancreatic cancer (YPAN),1597.2,1.1072159379454563,0.9217479144478212,0.3943835587406277
Pancreatic cancer (YPAN),1657.0,1.1523383477076263,2.0016820158568183,0.3943835587406277
Pancreatic cancer (YPAN),2100.4,2.1354163769875525,2.96889193179026,0.3943835587406277
