source_group,clinical_records,primary_spectrum_subjects,primary_spectrum_replicates,reacquired_subjects,reacquired_replicates,processed_acquisitions,primary_model_subjects
YNOR,30,29,145,29,145,30,29
YPAN,30,30,150,30,150,30,30
