fpr,tpr,threshold
0.0,0.0,inf
0.03333333333333333,0.0,0.969049393784036
0.03333333333333333,0.06666666666666667,0.9377364749077626
0.13333333333333333,0.06666666666666667,0.828682153709748
0.13333333333333333,0.13333333333333333,0.8159688950075905
0.2,0.13333333333333333,0.7966008705227521
0.2,0.16666666666666666,0.7697187667140102
0.26666666666666666,0.16666666666666666,0.7418605683822608
0.26666666666666666,0.2,0.7412030614548103
0.3333333333333333,0.2,0.7115099626406202
0.3333333333333333,0.36666666666666664,0.6675164906556854
0.4,0.36666666666666664,0.6124870975428693
0.4,0.43333333333333335,0.5980277082442308
0.43333333333333335,0.43333333333333335,0.5878400531240736
0.43333333333333335,0.5333333333333333,0.5751714029784427
0.4666666666666667,0.5333333333333333,0.5649231002218809
0.4666666666666667,0.6,0.5087315323087891
0.6333333333333333,0.6,0.445408177007412
0.6333333333333333,0.6333333333333333,0.4361908244932183
0.7,0.6333333333333333,0.4065401228378211
0.7,0.7,0.37849890539910136
0.7333333333333333,0.7,0.3557405815599887
0.7333333333333333,0.7666666666666667,0.3312082190086383
0.7666666666666667,0.7666666666666667,0.3114050482730258
0.7666666666666667,0.8,0.3040070868492493
0.8333333333333334,0.8,0.2939321980988142
0.8333333333333334,0.8333333333333334,0.2919939835172376
0.8666666666666667,0.8333333333333334,0.2814227628885972
0.8666666666666667,0.8666666666666667,0.26585796203478623
0.9,0.8666666666666667,0.2548175944896351
0.9,0.9333333333333333,0.22825392521674953
0.9333333333333333,0.9333333333333333,0.1995890003350207
0.9333333333333333,0.9666666666666667,0.17509460459395806
1.0,0.9666666666666667,0.06867285979568238
1.0,1.0,0.05525025685321116
