repeat,pooled_oof_auroc
1,0.6091954022988506
2,0.632183908045977
3,0.6195402298850575
4,0.6620689655172414
5,0.6425287356321838
6,0.5988505747126436
7,0.6344827586206896
8,0.6873563218390805
9,0.6632183908045978
10,0.5528735632183908
11,0.5632183908045977
12,0.5367816091954023
13,0.6218390804597701
14,0.5908045977011495
15,0.596551724137931
16,0.7022988505747126
17,0.6632183908045977
18,0.7379310344827587
19,0.6126436781609196
20,0.6333333333333333
21,0.7080459770114942
22,0.6298850574712643
23,0.6873563218390804
24,0.6367816091954023
25,0.6195402298850575
26,0.6264367816091954
27,0.6241379310344828
28,0.6459770114942529
29,0.6091954022988505
30,0.6839080459770114
31,0.6114942528735632
32,0.6517241379310345
33,0.5793103448275861
34,0.657471264367816
35,0.6459770114942528
36,0.6402298850574712
37,0.7183908045977012
38,0.7551724137931035
39,0.6275862068965516
40,0.5701149425287356
41,0.6045977011494252
42,0.6494252873563219
43,0.6241379310344828
44,0.6137931034482758
45,0.6494252873563219
46,0.6448275862068965
47,0.6678160919540228
48,0.6183908045977012
49,0.6620689655172414
50,0.6068965517241379
51,0.650574712643678
52,0.6160919540229884
53,0.6793103448275861
54,0.5402298850574713
55,0.5885057471264368
56,0.6149425287356322
57,0.6379310344827587
58,0.689655172413793
59,0.6586206896551725
60,0.5425287356321838
61,0.5931034482758621
62,0.5873563218390805
63,0.6551724137931034
64,0.6229885057471264
65,0.5885057471264368
66,0.6160919540229884
67,0.5735632183908047
68,0.6425287356321839
69,0.5827586206896551
70,0.6574712643678161
71,0.5977011494252873
72,0.5988505747126437
73,0.6494252873563219
74,0.6517241379310345
75,0.5494252873563218
76,0.6862068965517242
77,0.6379310344827587
78,0.6011494252873563
79,0.632183908045977
80,0.6425287356321838
81,0.5839080459770116
82,0.6367816091954024
83,0.6597701149425287
84,0.6954022988505747
85,0.6781609195402298
86,0.6574712643678161
87,0.5816091954022988
88,0.6344827586206896
89,0.5896551724137932
90,0.6505747126436782
91,0.6252873563218391
92,0.5563218390804598
93,0.5770114942528735
94,0.5149425287356322
95,0.6379310344827586
96,0.6160919540229884
97,0.6252873563218391
98,0.6517241379310345
99,0.6908045977011494
100,0.6666666666666666
