model,cohort,evaluation,n_features,mean_auroc,sd_auroc,delta_vs_full_spectrum_lr
full_spectrum_lr_c1,59 unique subjects,100x repeated stratified 5-fold pooled OOF,935,0.6294597701149425,0.04358054882282052,0.0
bin32_lr_c3,59 unique subjects,100x repeated stratified 5-fold pooled OOF,29,0.7202873563218389,0.040138607451740055,0.09082758620689646
