source_group,analysis_group,n_subjects,n_clinical_matched,n_age,age_mean,age_sd,age_median,n_bmi,bmi_mean,bmi_sd,bmi_median,F,M,missing_sex,1-2,3-4,missing_stage
YNOR,Control,30,29,29,51.96551724137931,15.439936062554263,54.0,29,24.02758620689655,3.1624918465986522,24.2,18,11,1,0,0,30
YPAN,Cancer,30,30,30,65.66666666666667,10.901861066471344,67.5,30,21.92,3.1070997675512837,22.5,14,16,0,4,19,7
