repeat,pooled_oof_auroc
1,0.7413793103448276
2,0.6597701149425288
3,0.7218390804597702
4,0.7379310344827587
5,0.6942528735632185
6,0.6873563218390805
7,0.6850574712643679
8,0.7482758620689656
9,0.7183908045977012
10,0.6505747126436782
11,0.7103448275862069
12,0.6080459770114942
13,0.7436781609195402
14,0.6965517241379311
15,0.7597701149425288
16,0.7942528735632184
17,0.7724137931034483
18,0.7494252873563217
19,0.7632183908045977
20,0.7689655172413793
21,0.7620689655172413
22,0.7413793103448275
23,0.732183908045977
24,0.7091954022988505
25,0.7333333333333334
26,0.7183908045977012
27,0.6908045977011494
28,0.7000000000000001
29,0.7206896551724138
30,0.7781609195402298
31,0.6839080459770114
32,0.7528735632183907
33,0.6977011494252874
34,0.7597701149425287
35,0.7896551724137931
36,0.7218390804597701
37,0.7379310344827587
38,0.8264367816091953
39,0.728735632183908
40,0.7057471264367817
41,0.7160919540229885
42,0.7057471264367816
43,0.7954022988505747
44,0.7264367816091954
45,0.7333333333333333
46,0.7080459770114943
47,0.7655172413793103
48,0.7482758620689656
49,0.735632183908046
50,0.7022988505747126
51,0.7448275862068966
52,0.7229885057471265
53,0.7275862068965517
54,0.7413793103448275
55,0.7022988505747126
56,0.6540229885057471
57,0.7091954022988505
58,0.771264367816092
59,0.760919540229885
60,0.6919540229885057
61,0.667816091954023
62,0.7
63,0.7057471264367816
64,0.7103448275862069
65,0.7540229885057471
66,0.7114942528735632
67,0.67816091954023
68,0.7183908045977012
69,0.6494252873563218
70,0.7425287356321839
71,0.6448275862068966
72,0.6770114942528735
73,0.7333333333333334
74,0.6954022988505747
75,0.6724137931034483
76,0.710344827586207
77,0.7264367816091954
78,0.7103448275862069
79,0.7011494252873564
80,0.7344827586206897
81,0.6586206896551724
82,0.7
83,0.7609195402298852
84,0.7885057471264367
85,0.774712643678161
86,0.7206896551724138
87,0.6908045977011493
88,0.7413793103448275
89,0.7413793103448276
90,0.6988505747126437
91,0.7091954022988506
92,0.6632183908045977
93,0.6597701149425287
94,0.5942528735632184
95,0.6954022988505747
96,0.6919540229885057
97,0.7298850574712644
98,0.7586206896551724
99,0.7827586206896552
100,0.7586206896551724
