metric,estimate,ci_lower,ci_upper
auroc,0.4933333333333333,0.3437213223025584,0.6411268601190476
pr_auc,0.503210634263445,0.36958888435219095,0.6980638408257821
accuracy,0.5666666666666667,0.43333333333333335,0.6833333333333333
sensitivity,0.6,0.41935483870967744,0.7666666666666667
specificity,0.5333333333333333,0.3548387096774194,0.7187812499999998
precision_ppv,0.5625,0.3870967741935484,0.7419354838709677
npv,0.5714285714285714,0.38461538461538464,0.75
f1,0.5806451612903226,0.42105263157894735,0.7143390191897652
