metric,value,ci95_low,ci95_high,n
accuracy,0.9772727272727273,0.946969696969697,1.0,132
balanced_accuracy,0.9768158670597695,0.9440578618457762,1.0,132
macro_f1,0.9736404180256939,0.9376644403966807,1.0,132
roc_auc,0.9981238273921201,0.9934566145092462,1.0,132
pr_auc,0.9960607820363918,0.9859271328265232,1.0,132
sensitivity,0.975609756097561,0.918918918918919,1.0,132
specificity,0.978021978021978,0.9431818181818182,1.0,132
