metric,value,ci95_low,ci95_high,n
accuracy,0.6788990825688074,0.5963302752293578,0.7706422018348624,109
balanced_accuracy,0.7021194224100297,0.6178595571095571,0.7911951029343409,109
macro_f1,0.6911442667540229,0.6034331014692274,0.7757969576719577,109
macro_ovr_roc_auc,0.8342623737964491,0.7790294540825891,0.892642383878906,109
