metric,value,ci95_low,ci95_high,n
accuracy,0.9848484848484849,0.9621212121212122,1.0,132
balanced_accuracy,0.982310372554275,0.9507010421899974,1.0,132
macro_f1,0.982310372554275,0.9534391534391534,1.0,132
roc_auc,0.9986598767086572,0.9947409299287316,1.0,132
pr_auc,0.9969474004188617,0.987784286882053,1.0000000000000002,132
sensitivity,0.975609756097561,0.918918918918919,1.0,132
specificity,0.989010989010989,0.9651162790697675,1.0,132
