cancer,wavenumber,shap,abs_shap
PRC,401.89,0.009349346111947411,0.009349346111947411
PRC,403.82,0.006471016190219116,0.006471016190219116
PRC,405.75,0.015679596613210008,0.015679596613210008
PRC,407.67,0.0027250381206022018,0.0027250381206022018
PRC,409.6,-0.020303869389720817,0.020303869389720817
PRC,411.53,-0.031456261346146014,0.031456261346146014
PRC,413.46,-0.00452259644539373,0.00452259644539373
PRC,415.39,0.017261587461820757,0.017261587461820757
PRC,417.31,-0.000573309086543314,0.000573309086543314
PRC,419.24,0.007302308526174532,0.007302308526174532
PRC,421.17,-0.02337745797748681,0.02337745797748681
PRC,423.1,0.012254237723259166,0.012254237723259166
PRC,425.03,-0.00017124259249960328,0.00017124259249960328
PRC,426.95,-0.06833087672514908,0.06833087672514908
PRC,428.88,-0.05149674108362894,0.05149674108362894
PRC,430.81,0.04770939960694238,0.04770939960694238
PRC,432.74,0.019022844887240566,0.019022844887240566
PRC,434.67,-0.10011906210157016,0.10011906210157016
PRC,436.59,0.01896991532300254,0.01896991532300254
PRC,438.52,0.14694611514129682,0.14694611514129682
PRC,440.45,0.04730190561804342,0.04730190561804342
PRC,442.38,0.044092403955826545,0.044092403955826545
PRC,444.3,0.10212004373647796,0.10212004373647796
PRC,446.23,0.029063735909574798,0.029063735909574798
PRC,448.16,-0.013102933291349681,0.013102933291349681
PRC,450.09,0.01733007178485902,0.01733007178485902
PRC,452.02,0.003907502363122863,0.003907502363122863
PRC,453.94,-0.003328085203845052,0.003328085203845052
PRC,455.87,-0.001767524641356673,0.001767524641356673
PRC,457.8,-0.016749364923321783,0.016749364923321783
PRC,459.73,-0.0031391261929060925,0.0031391261929060925
PRC,461.66,0.0024073669805301464,0.0024073669805301464
PRC,463.58,-0.0075870394828227265,0.0075870394828227265
PRC,465.51,-0.028194738083386205,0.028194738083386205
PRC,467.44,0.004638558459715549,0.004638558459715549
PRC,469.37,0.04648009127432871,0.04648009127432871
PRC,471.3,0.021493338080639725,0.021493338080639725
