dataset_label,n,same_id_accuracy,group_accuracy,median_true_rank,median_true_similarity,median_best_wrong_similarity,median_margin
Thermo,1611,0.031036623215394164,0.2377405338299193,405.0,0.5654197930152349,0.8932437951635503,-0.3012835728019374
Handheld,1609,0.027967681789931635,0.24487259167184586,369.0,0.4933780708392107,0.7810230719712218,-0.26873779643812734
Medical,1609,0.011808576755748913,0.08452454940957116,501.0,0.1337473769519878,0.43588513870373236,-0.28010664870641033
