dataset_label,n_samples,sample_accuracy,group_accuracy,median_true_rank,median_vote_fraction
Primary Thermo CV,1700,0.7488235294117647,0.928235294117647,1.0,0.6
Thermo,1611,0.03165735567970205,0.23153320918684048,408.0,0.6
Handheld,1609,0.027346177750155375,0.24362958359229334,374.0,0.8
Medical,1609,0.009944064636420136,0.07768800497203232,516.5,0.8333333333333334
