rank,consensus_peak_cm_minus_1,intensity_range,present_groups,control_peak_cm_minus_1,biopsy_negative_peak_cm_minus_1,cancer_peak_cm_minus_1,control_intensity_au,biopsy_negative_intensity_au,cancer_intensity_au,shaded_start_cm_minus_1,shaded_end_cm_minus_1
1,1000.6,0.7530856931539187,Control;Biopsy-negative;Cancer,1000.0,1001.9,1000.0,3.8223180301390194,4.575403723292938,4.558087900735499,988.6,1012.6
2,1446.8,0.24295698549776468,Control;Biopsy-negative;Cancer,1446.1,1448.1,1446.1,3.9667386108127647,3.8443588887719917,3.723781625315,1434.8,1458.8
3,2096.7,0.2378010457719878,Control;Biopsy-negative;Cancer,2096.1,2098.0,2096.1,1.1192174547472438,0.881416408975256,0.8849072509249535,2084.7,2108.7
4,1649.3,0.18391962420603714,Control;Biopsy-negative;Cancer,1651.9,1648.0,1648.0,0.8136743293333167,0.8888498574788477,0.9975939535393539,1637.3,1661.3
5,934.6,0.17584174827112253,Control;Biopsy-negative;Cancer,934.6,934.6,934.6,1.0491564602202716,0.9399483470865228,0.8733147119491491,922.6,946.6
