metric,value,ci95_low,ci95_high,n
accuracy,0.6697247706422018,0.5871559633027523,0.7522935779816514,109
balanced_accuracy,0.6676468892348498,0.5759163059163059,0.7582197217139478,109
macro_f1,0.6744897959183672,0.5832496558695747,0.7593119043043886,109
macro_ovr_roc_auc,0.8105850414142447,0.7482592876719399,0.8744290218739839,109
