,"Phe ring
(999-1010)","Phe ring
(999-1010)","Phe ring
(999-1010)","Adenine
(720-730)","Adenine
(720-730)","Adenine
(720-730)","C-S stretch
(615-625)","C-S stretch
(615-625)","C-S stretch
(615-625)","Tyr/Trp
(845-855)","Tyr/Trp
(845-855)","Tyr/Trp
(845-855)","Amide III
(1225-1300)","Amide III
(1225-1300)","Amide III
(1225-1300)","CH2 def
(1440-1460)","CH2 def
(1440-1460)","CH2 def
(1440-1460)","Purine/C=C
(1590-1605)","Purine/C=C
(1590-1605)","Purine/C=C
(1590-1605)","Amide I
(1645-1660)","Amide I
(1645-1660)","Amide I
(1645-1660)","Creatinine
(680-690)","Creatinine
(680-690)","Creatinine
(680-690)","Hippuric
(790-800)","Hippuric
(790-800)","Hippuric
(790-800)"
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRE,4.58521736934878,1.2540216687552503,30,1.748004888045672,1.3286506541910608,30,-0.47902976565688066,0.24265725653235856,30,0.2671893065090527,0.2892037877349483,30,0.04751007500514427,0.2614472281696803,30,1.582515609927983,0.3993278714929499,30,0.9309241007757757,0.5381268888627768,30,1.3944922566738356,0.7107575889836244,30,0.318322409418113,0.3045533134269538,30,-0.683756560802934,0.4020018763622823,30
CPAN,3.450865649641603,1.4628370331986753,70,0.9222344960598968,0.9158171416370132,70,-0.15989286498148672,0.46676360364301545,70,0.16436161790255857,0.5806547287440821,70,0.1928175983150151,0.7027353774599273,70,1.2299967309533173,0.9126465094313856,70,0.8396884761870406,0.9376703222803757,70,0.8443949616475284,0.8908677805425387,70,-0.04662686545618266,0.2600069146637572,70,-0.13100440784620307,0.582761333879528,70
CRC,4.4531985304963415,1.0649247595661095,300,0.8343733555700639,0.7614338234945158,300,0.19303207655711246,0.4469888458623401,300,-0.049754909879710665,0.38851504665075787,300,-0.1636494746658734,0.22850016039029722,300,1.0843929312367866,0.7780355841815736,300,0.3851261396411617,0.48510972495832433,300,0.3629085040661009,0.577714486892072,300,-0.1631314438445774,0.20331522969347343,300,0.42647419467624653,0.5581852653241124,300
DIA,4.349181579121081,1.3689959160894196,100,2.341053320953816,1.0963312359326927,100,-0.35272170377296347,0.2659117685777548,100,0.20277167855514563,0.2147110813026064,100,0.014882985380885127,0.2722690623758123,100,1.6917934595384299,0.461552069127872,100,0.8787717227853841,0.365512174549157,100,0.755278734425956,0.561910728558417,100,0.3691601637956489,0.2871815978018167,100,-0.6133587871187264,0.2644852629534826,100
H.D.,4.317923619287392,1.2771519578089505,100,2.3579466530541633,0.9975173398850417,100,-0.2515367742552914,0.30935837213322437,100,0.1774751238332614,0.22843457817176993,100,0.02565154160410597,0.2607438597179913,100,1.677737411890495,0.4929073441752443,100,0.9923993193454976,0.3831982592172494,100,0.7559007148583505,0.4942515118475092,100,0.3781672695474558,0.3590729248623366,100,-0.4724152496301781,0.2733261042181564,100
HBP,4.648012549476916,1.0538010045354207,100,3.1179600629846242,1.3936225058351344,100,-0.34010630368690054,0.23543954082038687,100,0.13483648554643154,0.2516263583405135,100,0.12639754202982362,0.326958171532617,100,1.5529461275447358,0.47442022503833764,100,1.2064502283410419,0.3923897276548156,100,0.8006430774247005,0.5811100002048221,100,0.27064614628563055,0.29089417453662947,100,-0.7218157043062005,0.11379712676342987,100
LUN,4.552398271538681,1.054248076487242,300,1.2479159532637152,0.8763666294232603,300,0.038555086442649183,0.49741058435186,300,-0.012012321061659734,0.3367172918761422,300,0.10826050755580946,0.32567383611205275,300,1.3645982457942103,0.7656253873662261,300,0.2916019918734013,0.4946379174482077,300,0.7953648311488836,0.6012658176905841,300,-0.08982563228460676,0.2871950339877596,300,-0.1974920892822175,0.5171971700440126,300
NOR,4.529067186124846,0.9321307201367903,100,2.4293924727144276,1.2344634490015314,100,-0.38346120521337534,0.20884267250448618,100,0.28519039809126234,0.27133708126019557,100,0.0663613647475385,0.2792027782967493,100,1.3794615635661485,0.4068486671568516,100,1.171696727748623,0.43960611933609567,100,0.84933201996592,0.5038662621407699,100,0.48509880371513686,0.298844853740428,100,-0.6891296590372405,0.133249253550303,100
OVA,4.587562033602727,1.1487208663863948,70,1.9820809782696829,1.5275693502699694,70,-0.4006906406096449,0.32978367997722435,70,0.2437811773356071,0.39009265175705066,70,0.1799365105176537,0.38439241266603635,70,1.7338174648536517,0.6201866979774923,70,1.2031903229709284,0.5504818379626492,70,1.4582208612126792,0.686806249241117,70,0.3174665089729893,0.3529982980956743,70,-0.6975151371040551,0.1562230072469286,70
PRO,4.244897569987976,1.2100233803677627,100,2.0693623033061344,1.3023706508474953,100,-0.4301394922045334,0.27860047278523825,100,0.30412249803577596,0.28451443230674983,100,0.12259313922075268,0.3334658778924561,100,1.6900286363715062,0.5466373819712782,100,1.123126554495324,0.4826178840163708,100,1.4357269230474319,0.6932778386665519,100,0.25681748046365754,0.28740929719044955,100,-0.72149871973941,0.15010777587238566,100
