sers_peak_cm1,metabolite,metabolite_peak_cm1,delta_cm1,vibration_mode
1597.1,8-Hydroxy-2-deoxyguanosine,1593.7,3.5,"purine ring, nucleotides"
1597.1,Alanine,1593.7,3.5,"purine ring, nucleotides"
1597.1,Arginine,1595.6,1.5,"purine ring, nucleotides"
1597.1,Ascorbic acid,1589.8,7.3,"purine ring, nucleotides"
1597.1,Aspartic acid,1595.6,1.5,"purine ring, nucleotides"
1597.1,Benzoic acid,1601.2,4.1,"purine ring, nucleotides"
1597.1,Betaine,1597.3,0.2,"purine ring, nucleotides"
1597.1,Cholesterol,1597.5,0.4,"purine ring, nucleotides"
1597.1,Choline,1601.2,4.1,"purine ring, nucleotides"
1597.1,Creatinine,1595.6,1.5,"purine ring, nucleotides"
1597.1,Cysteine,1597.5,0.4,"purine ring, nucleotides"
1597.1,Fucose,1593.7,3.5,"purine ring, nucleotides"
1597.1,Galactosamine,1597.5,0.4,"purine ring, nucleotides"
1597.1,Glucose,1589.8,7.3,"purine ring, nucleotides"
1597.1,Glutamic acid,1597.5,0.4,"purine ring, nucleotides"
1597.1,Glycine,1591.7,5.4,"purine ring, nucleotides"
1597.1,Glycocholic acid,1597.5,0.4,"purine ring, nucleotides"
1597.1,Glycogen,1601.4,4.2,"purine ring, nucleotides"
1597.1,Hippuric acid,1597.5,0.4,"purine ring, nucleotides"
1597.1,Hypoxanthine,1589.8,7.3,"purine ring, nucleotides"
1597.1,Isoleucine,1595.6,1.5,"purine ring, nucleotides"
1597.1,Kaempferol,1603.2,6.1,"purine ring, nucleotides"
1597.1,Leucine,1593.7,3.5,"purine ring, nucleotides"
1597.1,Maleic acid,1601.2,4.1,"purine ring, nucleotides"
1597.1,Methyl 2-Hydroxyisobutyrate,1593.7,3.5,"purine ring, nucleotides"
1597.1,Methyl alfa-D-Glucopyranoside,1593.7,3.5,"purine ring, nucleotides"
1597.1,Methyl-beta-D-Ribofuranoside,1593.7,3.5,"purine ring, nucleotides"
1597.1,Palmitic acid,1595.6,1.5,"purine ring, nucleotides"
1597.1,Phenylalanine,1595.6,1.5,"purine ring, nucleotides"
1597.1,Proline,1595.6,1.5,"purine ring, nucleotides"
1597.1,Pseudouridine,1593.7,3.5,"purine ring, nucleotides"
1597.1,Spermidine,1599.5,2.3,"purine ring, nucleotides"
1597.1,Sphinganine,1597.5,0.4,"purine ring, nucleotides"
1597.1,Stearic acid,1601.4,4.2,"purine ring, nucleotides"
1597.1,Tyrosine,1595.6,1.5,"purine ring, nucleotides"
1597.1,Valine,1593.7,3.5,"purine ring, nucleotides"
1597.1,Xylonic acid,1595.6,1.5,"purine ring, nucleotides"
1597.1,p-Cymene,1591.7,5.4,"purine ring, nucleotides"
1651.1,Histidine,1653.4,2.3,Amide I (C=O stretch)
1651.1,Maleic acid,1657.1,6.0,Amide I (C=O stretch)
1651.1,Pseudouridine,1645.7,5.4,Amide I (C=O stretch)
1651.1,Uric acid,1659.2,8.1,Amide I (C=O stretch)
