cancer_type,metabolite,n_peaks_matched,mean_sers_correlation,peaks_matched,best_peak_rank,composite_score
BLC,Fucose,4,0.4452,847; 1001; 1451; 1597,2,1.7808
BLC,Maleic acid,4,0.4369,685; 847; 1451; 1597,2,1.7476
BLC,Methyl alfa-D-Glucopyranoside,4,0.4239,847; 1001; 1451; 1597,2,1.6956
BLC,2-Naphthol,4,0.4076,685; 847; 1001; 1451,2,1.6304
BLC,Glucose,4,0.3983,847; 1001; 1451; 1597,2,1.5932
BLC,Acrylic acid,3,0.5162,685; 847; 1451,2,1.5486
BLC,Spermidine,4,0.3727,847; 1001; 1451; 1597,2,1.4908
BLC,Xylose,3,0.4721,685; 847; 1451,2,1.4163000000000001
BLC,Serine,3,0.4454,685; 847; 1451,2,1.3362
BLC,N-Acetylneuraminic acid,3,0.4292,685; 847; 1451,2,1.2876
BLC,Kynurenine,4,0.3109,685; 722; 847; 1451,1,1.2436
BLC,Threonine,3,0.403,685; 847; 1451,2,1.209
BLC,Glutamic acid,5,0.23879999999999998,685; 847; 1001; 1451; 1597,2,1.194
BLC,Pyrimidine,3,0.3924,685; 847; 1451,2,1.1772
BLC,Pseudouridine,4,0.29,847; 1001; 1451; 1597,2,1.16
BLC,Glycocholic acid,4,0.2839,685; 847; 1451; 1597,2,1.1356
BLC,Valine,3,0.3775,847; 1451; 1597,2,1.1325
BLC,Tryptophan,3,0.3748,847; 1001; 1451,2,1.1244
BLC,Glycine,3,0.3627,847; 1451; 1597,2,1.0881
BLC,Cysteine,4,0.2476,685; 847; 1001; 1597,3,0.9904
BLC,O-Acetylcarnitine,2,0.4891,847; 1451,2,0.9782
BLC,Methyl DL-2-Aminobutyrate,3,0.3175,685; 847; 1451,2,0.9525
BLC,4-Pyridoxic acid,4,0.2355,847; 1001; 1451; 1597,2,0.942
BLC,Malic acid,2,0.4468,847; 1451,2,0.8936
BLC,Taurine,2,0.4405,847; 1451,2,0.881
BLC,cis-Aconitic acid,2,0.4377,847; 1451,2,0.8754
BLC,Glycogen,3,0.2614,847; 1451; 1597,2,0.7842
BLC,Histidine,3,0.2507,847; 1001; 1451,2,0.7521
BLC,Inosine,2,0.3547,847; 1001,3,0.7094
BLC,trans-Aconitic acid,2,0.3492,847; 1451,2,0.6984
BLC,Creatinine,3,0.2278,685; 722; 1597,1,0.6834
BLC,Sphinganine,2,0.3324,847; 1597,5,0.6648
BLC,Uric acid,3,0.2117,847; 1001; 1451,2,0.6351
BLC,Kaempferol,2,0.3054,685; 1597,4,0.6108
BLC,Creatine,2,0.2687,1001; 1451,2,0.5374
BLC,4-Methoxyphenol,2,0.2682,1001; 1451,2,0.5364
BLC,Tyrosine,4,0.1276,685; 847; 1451; 1597,2,0.5104
BLC,Adenine,2,0.2323,722; 1451,1,0.4646
BLC,1-Hydroxylpyrene,3,0.1523,847; 1001; 1597,3,0.4569
BLC,Xanthine,3,0.126,847; 1001; 1451,2,0.378
BLC,NADH,1,0.3644,847,5,0.3644
BLC,Uracil,2,0.1449,1001; 1451,2,0.2898
BLC,Guanine,1,0.1673,847,5,0.1673
