metric,value,ci_low,ci_high,n
Accuracy,0.9488817891373802,0.9185850683323965,0.9682934223708445,313
Sensitivity,0.9647577092511013,0.9320104830998363,0.9820362051920487,227
Specificity,0.9069767441860465,0.8270407914425881,0.9521082887162688,86
Precision,0.9647577092511013,0.9320104830998363,0.9820362051920487,227
F1,0.9647577092511013,0.9463376353494476,0.9791688278008298,313
AUROC,0.9735682819383259,0.9494247210576269,0.9901223858048295,313
