,LUN,CRC,BLC,PRO,OVA,PAN
LUN,0.85,0.03333333333333333,0.0,0.06666666666666667,0.03333333333333333,0.016666666666666666
CRC,0.0,0.9333333333333333,0.0,0.0,0.0,0.06666666666666667
BLC,0.0,0.0,1.0,0.0,0.0,0.0
PRO,0.0,0.0,0.0,1.0,0.0,0.0
OVA,0.0,0.0,0.0,0.0,1.0,0.0
PAN,0.0,0.2857142857142857,0.0,0.0,0.0,0.7142857142857143
