cancer_type,sensitivity,ci_low,ci_high,correct,n,label
PRO,1.0,0.8388698745050668,0.9999999999999999,20,20,Prostate
LUN,0.85,0.7388517410884038,0.9190265075770431,51,60,Lung
CRC,0.9333333333333333,0.8407442010623228,0.973771725856802,56,60,Colorectal
PAN,0.7142857142857143,0.4535045882751561,0.882788120898909,10,14,Pancreatic
OVA,1.0,0.7846829880728186,1.0,14,14,Ovarian
BLC,1.0,0.938868520215908,1.0,59,59,Bladder
