task,auc,auc_ci_low,auc_ci_high,n_positive,n_negative
Cancer vs non-cancer,0.9735682819383259,0.9494247210576269,0.9901223858048295,227,86
LUN,0.9950099800399201,0.9888539061557637,0.9990829207319608,60,167
CRC,0.9869261477045908,0.9725157743875837,0.9972201353006614,60,167
BLC,1.0,0.9999999999999999,1.0,59,168
PRO,0.9971014492753624,0.990888799927488,1.0,20,207
OVA,0.9986586183769283,0.9949458874458874,1.0,14,213
PAN,0.9503688799463448,0.8934107754410693,0.9937290535883518,14,213
