5.075316e+01,4.564501e+04
5.268163e+01,4.394216e+04
5.461009e+01,4.210132e+04
5.653856e+01,4.022594e+04
5.846703e+01,3.831355e+04
6.039549e+01,3.666248e+04
6.232396e+01,3.519816e+04
6.425243e+01,3.376725e+04
6.618089e+01,3.240491e+04
6.810936e+01,3.119094e+04
7.003783e+01,3.017978e+04
7.196629e+01,2.928793e+04
7.389476e+01,2.814687e+04
7.582323e+01,2.744362e+04
7.775169e+01,2.686058e+04
7.968016e+01,2.625298e+04
8.160863e+01,2.558226e+04
8.353709e+01,2.489026e+04
8.546556e+01,2.424474e+04
8.739403e+01,2.366460e+04
8.932249e+01,2.314293e+04
9.125096e+01,2.261107e+04
9.317943e+01,2.207294e+04
9.510789e+01,2.153088e+04
9.703636e+01,2.095438e+04
9.896483e+01,2.035989e+04
1.008933e+02,1.989632e+04
1.028218e+02,1.933062e+04
1.047502e+02,1.884051e+04
1.066787e+02,1.845777e+04
1.086072e+02,1.811549e+04
1.105356e+02,1.770446e+04
1.124641e+02,1.727490e+04
1.143926e+02,1.704713e+04
1.163210e+02,1.662857e+04
1.182495e+02,1.632621e+04
1.201780e+02,1.611940e+04
1.221064e+02,1.579889e+04
1.240349e+02,1.545750e+04
1.259634e+02,1.513663e+04
1.278918e+02,1.469414e+04
1.298203e+02,1.432375e+04
1.317488e+02,1.404551e+04
1.336772e+02,1.379816e+04
1.356057e+02,1.345003e+04
1.375342e+02,1.300462e+04
1.394626e+02,1.250830e+04
1.413911e+02,1.200530e+04
1.433196e+02,1.152612e+04
1.452480e+02,1.098727e+04
1.471765e+02,1.041926e+04
1.491050e+02,9.959497e+03
1.510334e+02,9.385249e+03
1.529619e+02,8.837542e+03
1.548904e+02,8.420944e+03
1.568188e+02,8.028051e+03
1.587473e+02,7.731053e+03
1.606758e+02,7.611304e+03
1.626042e+02,7.644453e+03
1.645327e+02,7.716238e+03
1.664612e+02,7.735841e+03
1.683896e+02,7.586110e+03
1.703181e+02,7.226029e+03
1.722466e+02,6.759667e+03
1.741750e+02,6.331587e+03
1.761035e+02,5.993500e+03
1.780320e+02,5.744389e+03
1.799604e+02,5.590580e+03
1.818889e+02,5.442452e+03
1.838174e+02,5.262035e+03
1.857458e+02,5.097717e+03
1.876743e+02,5.021345e+03
1.896028e+02,5.035217e+03
1.915312e+02,4.970083e+03
1.934597e+02,4.908433e+03
1.953882e+02,4.890308e+03
1.973166e+02,4.919155e+03
1.992451e+02,4.966080e+03
2.011736e+02,4.990638e+03
2.031020e+02,4.991871e+03
2.050305e+02,5.068196e+03
2.069590e+02,5.213883e+03
2.088874e+02,5.384657e+03
2.108159e+02,5.534638e+03
2.127444e+02,5.639449e+03
2.146728e+02,5.796388e+03
2.166013e+02,6.014315e+03
2.185298e+02,6.167564e+03
2.204582e+02,6.315607e+03
2.223867e+02,6.516036e+03
